reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
f58c638c-76e5-44e9-8f55-e975ae5ebbd7,winarti ramdhanningsih,https://play-lh.googleusercontent.com/a-/ALV-UjVqKcFb2qQiVCxxA2Ln5Wfvv0JfJHlP5Z1D88MTamlqE-Cgvgk,"Aplikasi TIX ID sangat mempermudah pengunjung Bioskop untuk lebih praktis dan simpel saat ingin menonton di Bioskop tanpa harus mengantri tiket.. bisa pesan dari rumah.., menghemat waktu juga. Bisa lihat film terbaru yang sedang tayang, bisa mudah memilih Bioskop kesukaan, jam tayang, dan memilih kursi dengan mudah dan praktis.. Begitu menyenangkan menggunakan TIX ID..🤩👍🏻👍🏻👍🏻",5,9,3.14.0,2025-04-19 12:18:26,"Hi TIX Hunter, terima kasih atas review yang diberikan. Semoga TIX ID bisa menjadi pilihan utama untuk pembelian tiket nonton di jaringan bioskop kesayangan Anda. Jika Anda memiliki pertanyaan lainnya, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Rina",2025-04-20 03:05:28,3.14.0
bdb47f2c-3fef-46b1-b07c-7b2298f9bb0c,Himawan kresna premana,https://play-lh.googleusercontent.com/a-/ALV-UjX1xeo9c0zbYFCgaD2bkz4B8yvZr4RsGzAe192je5ZYIEUOip4,"Ini knp y baru instal gk bisa dibuka. Udah lebih dr 5menit tulisan tix id background biru dongker gk berubah-ubah. Stuk disitu aja drtd. Update : ada pop up bertuliskan ""ada kendala, coba ulangi beberapa saat lagi"" Ps. Bintang akan di rubah jika apk sudah bisa dibuka.",1,8,3.14.0,2025-04-13 03:50:40,"Hi TIX Hunter, mohon maaf atas ketidaknyamanannya. Mohon berkenan mencoba kembali. Jika Anda memiliki pertanyaan lainnya, mohon untuk menghubungi Customer Service melalui email di help@tix.id. Terima kasih / Bella",2025-04-13 04:41:14,3.14.0
e0e7abae-25f1-470a-85dc-ffe85bb05fa0,berlian fauziyyah,https://play-lh.googleusercontent.com/a-/ALV-UjVO99s_6gDgY6FrSjxCWSUFbRwTQd-BfQDY66EpsmduQucBTpE,"Sebenernya sih udah bagus, tapi sayang belum disabilitas friendly. Hiburan kan diciptakan untuk semua orang agar bisa dinikmati. Jadi tolong ya buat menu pemilihan kursi bikin biar bisa diakses sama screen reader dan tolong pada proses pengembangannya libatkan yang harus dilibatkan. Hanya sekadar masukan sih, semoga kedepan aplikasinya bisa lebih inklusif bisa diaksses sama semua orang tanpa terkecuali. Terima kasih.",3,17,3.14.0,2025-04-08 16:32:52,"Hi TIX Hunter, terima kasih atas review & saran yang diberikan. Tentunya akan menjadi pertimbangan kami kedepannya. Semoga TIX ID bisa menjadi pilihan utama untuk pembelian tiket nonton di bioskop kesayangan Anda. Jika memiliki pertanyaan lainnya, mohon berkenan untuk menghubungi kami melalui email di help@tix.id. Terima kasih/Bagas",2025-04-09 02:59:27,3.14.0
1e00cc55-92c2-452d-8877-99fcd38b5479,Khusnul Khotimah,https://play-lh.googleusercontent.com/a/ACg8ocJUbm0lUJdLsrBDSMn4YRu4l81VcYcJztRwHUqX5PuUGKrN3io=mo,"Buat Emak2 Gaptek yg mager ngantri jam tayang film,ini ngebantu banget sih.Bisa pilih jam tayang, pilah pilih film juga lewat hp, tinggal geser2,klik.Payment.Udah.Aplikasinya juga mudah... Cakep.",5,54,3.14.0,2025-04-13 08:23:19,"Hi TIX Hunter, terima kasih atas review yang diberikan. Semoga TIX ID bisa menjadi pilihan utama untuk pembelian tiket nonton di jaringan bioskop kesayangan Anda. Jika Anda memiliki pertanyaan lainnya, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Miko",2025-04-13 09:05:53,3.14.0
d6f86acf-0f7a-4c7b-b180-141d810f2b01,Husnul Khotimah,https://play-lh.googleusercontent.com/a-/ALV-UjXjoEozNKZ4SQS8sPRhMKueILK2zwcZANRSsBXHBWjFOmjpXYOeaA,"Totally ok, tapi tolong akses untuk memesan tiket next day atau ditanggal2 berikutnya diberikan. Sangat membantu org2 well prepare dari jauh jauh hari. Kadang aktif iconnya, tapi tidak lengkap filmnya. Berbeda dgn ketika kita akses dihari H nya",5,115,3.14.0,2025-04-08 04:40:40,"Hi TIX Hunter, untuk jadwal film dan pre-sale kami tidak dapat mengetahuinya, karena jadwal yang ada pada aplikasi kami adalah jadwal yang dimunculkan oleh pihak bioskop. Jika pihak bioskop belum memunculkan jadwal, maka tidak ada jadwal yang akan muncul di TIX ID. Terima kasih/Bagas",2025-04-08 04:56:56,3.14.0
32334a6c-415e-4274-860d-3dfad2f59b3d,Inda Permata Sari,https://play-lh.googleusercontent.com/a-/ALV-UjWDf7DbLXyGfFJSqKJl0U_ZtUt8XecYiybfCebMe1R5_xKDx8cm,"Susah amat buat pesan tiketnya. Bukan susah gunain aplikasinya. Tapi karena selalu bermasalah aplikasinya. Belum lagi banyak ulasan yang katanya uang tidak di refund, sedangkan uang di e-wallet sudah kepotong. Baru juga mau pakai ni aplikasi. Karena ada promonya. Begitu promonya sudah habis, baru lancar aplikasinya. parah sih",3,5,3.14.0,2025-04-13 04:42:16,"Hi TIX Hunter, mohon maaf atas ketidaknyamanannya. Mohon untuk lakukan tips berikut yaitu clear data terlebih dahulu lalu nyalakan airplane mode beberapa saat. Setelah itu Anda dapat mencoba kembali. Jika masih terkendala, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Miko",2025-04-13 06:35:12,3.14.0
0fdb5d6c-9765-4233-85be-287b14331cd3,Alya Syakira,https://play-lh.googleusercontent.com/a-/ALV-UjVZ6OO0pJVExrt8SvmLohuYKe3ibkE1R6AkgTkU1a1XRJhEHvF3,"kenapa pas udah tekan ringkasan order, selalu loading terus, muter2, dan gak bisa transaksi??? tolong ditingkatkan lagi performa aplikasi kelen!!",3,10,3.14.0,2025-04-05 06:41:39,"Hi TIX Hunter, terima kasih atas review Anda dan kami mohon maaf atas ketidaknyamanan yang terjadi. Mohon berkenan mengirimkan info lengkapnya dengan menghubungi customer service kami melalui email di help@tix.id. Terima kasih/Miko",2025-04-05 07:13:28,3.14.0
07668d3e-cadc-4bec-adb5-7a609118bf8d,Yzrif Prananta,https://play-lh.googleusercontent.com/a-/ALV-UjWPwB61d3BrSooKeDBDYdgJd60rz1jMUUmn6Wm5F5bROYDg_lA,"pelayanannya sangat buruk, bahkan untuk fee tiket dengan harga 4 ribu pertiket sangat kapitalis. saya membeli tiket dan sudah melakukan pembayaran tapi pembelian tiket gagal dan uang saya tidak kunjung dikembalikan. saya sudah melakukan komplan ke aplikasi dan cs tapi prosesnya sangat lemot sekali hanya untuk mengembalikan uang saya. sumpah buruk sekali pelayanannya",1,16,3.14.0,2025-04-04 09:00:40,"Hi TIX Hunter. Untuk kendala Anda sebelumnya sudah ditangani oleh tim terkait kami. Silahkan Anda dapat mengisi kembali form refund dari transaksi tersebut. Jika Anda memiliki pertanyaan lainnya, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Miko",2025-04-04 09:11:02,3.14.0
83e8b767-e6bf-4d89-b5c8-bd8f2ade7684,Nikmaktus Sania,https://play-lh.googleusercontent.com/a/ACg8ocLW-2srAzKgJuW9-RAcw10xjhPcPDtQ32Sf6AVoKbyFFgo2mQ=mo,gk bagus.masak aku udah pesen udah bayar udah dikonfirmasi jg di apknya tpi pas waktu mau tukar gk bisa tulisannya nmr hp tidak ditemukan pdhl nmr masih aktif kuota jg masih bnyk pas mau ngehubungin customer servis jg gk bisa duitnya gk balik lgi,1,3,3.14.0,2025-04-13 06:43:21,"Hi TIX Hunter, terima kasih atas review Anda dan kami mohon maaf atas ketidaknyamanan yang terjadi. Mohon berkenan mengirimkan info lengkapnya dengan menghubungi customer service kami melalui email di help@tix.id. Terima kasih / Bella",2025-04-13 08:21:42,3.14.0
99005f7e-ada1-4d6c-9608-083e94ead77f,Surya Daun pisang fahlevi,https://play-lh.googleusercontent.com/a-/ALV-UjVvfBy87yceJ1kHlCF1EIx1WjD9MnpM5NCq0AwzNOUGT2anorq9Gg,ini sih aplikasi bagus... tapi kok bisa ya ada orang mau beli orderan film di tanggal jauh2 hari sebelum tayang loadingnya itunya loh mutar mutar terus terus lamaa lagi..,3,1,3.14.0,2025-04-13 03:28:42,"Hi TIX Hunter, mohon maaf atas ketidaknyamanannya. Mohon berkenan mencoba kembali. Jika Anda memiliki pertanyaan lainnya, mohon untuk menghubungi Customer Service melalui email di help@tix.id. Terima kasih / Bella",2025-04-13 04:42:45,3.14.0
